,brand,flavour,volume_per_joghurt_g,packsize,product_id
0,Mueller,blueberry,150,6,0
1,Oikos,chocolate,1000,1,1
2,Alnatura,strawberry,1000,1,2
3,Mueller,straciatella,500,6,3
4,Danone,straciatella,150,6,4
5,Danone,strawberry,150,1,5
6,Alnatura,raspberry,500,6,6
7,Rewe,strawberry,1000,6,7
8,Alnatura,straciatella,150,6,8
9,Activia,blueberry,1000,6,9
10,Mueller,chocolate,1000,6,10
11,Ja!,blueberry,500,6,11
12,Ecke-Mit-Was-Drin,straciatella,500,6,12
13,Danone,chocolate,150,6,13
14,Rewe,blueberry,1000,6,14
15,Oikos,chocolate,500,6,15
16,Ja!,straciatella,500,6,16
17,Mueller,strawberry,150,6,17
18,Oikos,blueberry,1000,1,18
19,Actimel,blueberry,1000,6,19
20,Rewe,chocolate,500,1,20
21,Danone,strawberry,1000,6,21
22,Ecke-Mit-Was-Drin,raspberry,1000,6,22
23,Activia,straciatella,500,6,23
24,Rewe,raspberry,1000,6,24
25,Danone,blueberry,500,1,25
26,Oikos,strawberry,500,1,26
