,date,product_id,price,units
0,2020-01-01,0,4.65,1126.0
1,2020-01-02,0,4.76,1205.0
2,2020-01-03,0,5.22,1007.0
3,2020-01-04,0,5.45,1282.0
4,2020-01-05,0,3.33,1037.0
5,2020-01-06,0,4.06,1239.0
6,2020-01-07,0,4.17,1780.0
7,2020-01-08,0,3.87,1453.0
8,2020-01-09,0,4.4,1430.0
9,2020-01-10,0,6.11,1142.0
10,2020-01-01,1,1.65,1503.0
11,2020-01-02,1,2.0,1540.0
12,2020-01-03,1,2.86,1594.0
13,2020-01-04,1,4.53,1616.0
14,2020-01-05,1,4.86,1225.0
15,2020-01-06,1,4.61,1409.0
16,2020-01-07,1,3.27,1380.0
17,2020-01-08,1,6.86,1458.0
18,2020-01-09,1,5.29,1376.0
19,2020-01-10,1,3.24,1212.0
20,2020-01-01,2,5.07,1298.0
21,2020-01-02,2,4.69,1316.0
22,2020-01-03,2,3.72,1403.0
23,2020-01-04,2,3.72,1653.0
24,2020-01-05,2,5.19,1436.0
25,2020-01-06,2,4.36,1418.0
26,2020-01-07,2,5.55,1469.0
27,2020-01-08,2,5.05,1180.0
28,2020-01-09,2,3.51,1136.0
29,2020-01-10,2,4.97,1530.0
30,2020-01-01,3,2.7,1478.0
31,2020-01-02,3,5.28,1331.0
32,2020-01-03,3,5.32,1224.0
33,2020-01-04,3,8.12,1166.0
34,2020-01-05,3,5.71,1109.0
35,2020-01-06,3,7.33,1341.0
36,2020-01-07,3,5.25,1110.0
37,2020-01-08,3,7.02,1204.0
38,2020-01-09,3,6.96,1333.0
39,2020-01-10,3,6.29,1250.0
40,2020-01-01,4,2.3,1692.0
41,2020-01-02,4,3.6,1647.0
42,2020-01-03,4,3.95,1457.0
43,2020-01-04,4,5.47,1300.0
44,2020-01-05,4,4.37,1540.0
45,2020-01-06,4,4.64,1473.0
46,2020-01-07,4,4.21,1435.0
47,2020-01-08,4,5.01,1535.0
48,2020-01-09,4,4.74,1380.0
49,2020-01-10,4,4.4,1567.0
50,2020-01-01,5,1.62,1250.0
51,2020-01-02,5,1.66,1422.0
52,2020-01-03,5,1.53,1497.0
53,2020-01-04,5,2.02,1257.0
54,2020-01-05,5,1.71,1377.0
55,2020-01-06,5,1.65,1080.0
56,2020-01-07,5,1.56,1774.0
57,2020-01-08,5,1.78,1613.0
58,2020-01-09,5,1.46,1937.0
59,2020-01-10,5,2.29,1364.0
60,2020-01-01,6,6.92,947.0
61,2020-01-02,6,6.74,869.0
62,2020-01-03,6,6.15,1294.0
63,2020-01-04,6,6.06,1020.0
64,2020-01-05,6,6.44,1306.0
65,2020-01-06,6,5.49,958.0
66,2020-01-07,6,8.2,528.0
67,2020-01-08,6,6.29,967.0
68,2020-01-09,6,4.47,1097.0
69,2020-01-10,6,5.33,1192.0
70,2020-01-01,7,7.48,297.0
72,2020-01-03,7,5.1,1342.0
73,2020-01-04,7,6.44,762.0
75,2020-01-06,7,8.59,265.0
76,2020-01-07,7,7.58,786.0
77,2020-01-08,7,7.61,603.0
78,2020-01-09,7,7.12,946.0
80,2020-01-01,8,3.05,1454.0
81,2020-01-02,8,3.4,1640.0
82,2020-01-03,8,3.4,1297.0
83,2020-01-04,8,3.97,1618.0
84,2020-01-05,8,4.75,1573.0
85,2020-01-06,8,4.52,1559.0
86,2020-01-07,8,5.19,1317.0
87,2020-01-08,8,5.2,1446.0
88,2020-01-09,8,3.7,1159.0
89,2020-01-10,8,3.01,1596.0
90,2020-01-01,9,7.93,778.0
91,2020-01-02,9,5.45,835.0
92,2020-01-03,9,7.9,410.0
93,2020-01-04,9,6.97,576.0
94,2020-01-05,9,5.77,536.0
95,2020-01-06,9,6.25,1010.0
96,2020-01-07,9,6.48,614.0
97,2020-01-08,9,8.01,348.0
98,2020-01-09,9,4.38,1508.0
99,2020-01-10,9,8.06,800.0
100,2020-01-01,10,3.34,1465.0
101,2020-01-02,10,6.01,1194.0
102,2020-01-03,10,6.62,1390.0
103,2020-01-04,10,9.42,817.0
104,2020-01-05,10,6.53,1365.0
105,2020-01-06,10,9.0,1165.0
106,2020-01-07,10,5.78,1537.0
107,2020-01-08,10,7.86,1089.0
108,2020-01-09,10,8.7,1203.0
109,2020-01-10,10,7.81,1244.0
110,2020-01-01,11,6.52,912.0
111,2020-01-02,11,5.92,1351.0
112,2020-01-03,11,6.5,636.0
113,2020-01-04,11,7.28,611.0
